Company,Model,RAM,ROM,Price(rupees),Ratings
realme,"realme C31 (Dark Green, 32 GB)",3 GB RAM , 32 GB ,"9,299",4.5
realme,"realme C31 (Light Silver, 32 GB)",3 GB RAM , 32 GB ,"9,299",4.5
POCO,"POCO C31 (Royal Blue, 64 GB)",4 GB RAM , 64 GB ,"9,999",4.4
realme,"realme C11 2021 (Cool Grey, 32 GB)",2 GB RAM , 32 GB ,"7,499",4.4
realme,"realme C11 2021 (Cool Blue, 32 GB)",2 GB RAM , 32 GB ,"7,499",4.4
realme,"realme C11 2021 (Cool Blue, 64 GB)",4 GB RAM , 64 GB ,"8,999",4.3
realme,"realme C11 2021 (Cool Grey, 64 GB)",4 GB RAM , 64 GB ,"8,999",4.3
POCO,"POCO C31 (Royal Blue, 32 GB)",3 GB RAM , 32 GB ,"8,999",4.4
realme,"realme C31 (Dark Green, 64 GB)",4 GB RAM , 64 GB ,"9,999",4.4
realme,"realme C31 (Light Silver, 64 GB)",4 GB RAM , 64 GB ,"9,999",4.4
POCO,"POCO C31 (Shadow Gray, 64 GB)",4 GB RAM , 64 GB ,"9,999",4.4
REDMI,"REDMI Note 10T 5G (Metallic Blue, 64 GB)",4 GB RAM , 64 GB ,"11,999",4.5
POCO,"POCO M3 Pro 5G (Yellow, 64 GB)",4 GB RAM , 64 GB ,"14,499",4.3
MOTOROLA,"MOTOROLA G60 (Moonless, 128 GB)",6 GB RAM , 128 GB,"15,999",4.2
MOTOROLA,"MOTOROLA e40 (Carbon Gray, 64 GB)",4 GB RAM , 64 GB ,"9,999",4.1
REDMI,"REDMI Note 10T 5G (Mint Green, 64 GB)",4 GB RAM , 64 GB ,"11,999",4.5
MOTOROLA,"MOTOROLA G60 (Dynamic Gray, 128 GB)",6 GB RAM , 128 GB,"15,999",4.2
POCO,"POCO C31 (Shadow Gray, 32 GB)",3 GB RAM , 32 GB ,"8,999",4.4
realme,"realme C35 (Glowing Green, 64 GB)",4 GB RAM , 64 GB ,"11,999",4.4
REDMI,"REDMI Note 10T 5G (Graphite Black, 64 GB)",4 GB RAM , 64 GB ,"11,999",4.5
REDMI,"REDMI Note 10T 5G (Chromium White, 128 GB)",6 GB RAM , 128 GB,"13,999",4.3
realme,"realme C35 (Glowing Black, 64 GB)",4 GB RAM , 64 GB ,"11,999",4.4
vivo,"vivo T1 44W (Starry Sky, 128 GB)",4 GB RAM , 128 GB,"14,499",4.5
REDMI,"REDMI 9i Sport (Metallic Blue, 64 GB)",4 GB RAM , 64 GB ,"8,999",4.4
